iso_code,location,date,total_cases,new_cases,total_deaths,total_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
ABW,Aruba,13-03-2020,2,2,0,15,18.733,18.733,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,20-03-2020,4,2,0,15,37.465,18.733,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,24-03-2020,12,8,0,15,112.395,74.93,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,25-03-2020,17,5,0,15,159.227,46.831,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,26-03-2020,19,2,0,15,177.959,18.733,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,27-03-2020,28,9,0,15,262.256,84.296,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,28-03-2020,28,0,0,15,262.256,0,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,29-03-2020,28,0,0,15,262.256,0,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,30-03-2020,50,22,0,15,468.314,206.058,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,01-04-2020,55,5,0,15,515.145,46.831,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,02-04-2020,55,0,0,15,515.145,0,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,03-04-2020,60,5,0,15,561.977,46.831,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,04-04-2020,62,2,0,15,581020.7102,18.733,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,05-04-2020,64,2,0,15,599.442,18.733,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,06-04-2020,64,0,0,15,599.442,0,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,07-04-2020,71,7,0,15,665.1020102,65.564,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,08-04-2020,74,3,0,15,693.110205,28.099,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,09-04-2020,77,3,0,15,721.210203,28.099,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
ABW,Aruba,10-04-2020,82,5,0,15,768.102035,46.831,0,0,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
